58595,Snow White and the Huntsman
564359,Fuck You! It's Christmas, Bitches!
162,Edward Scissorhands
2567,The Aviator
395990,Death Wish
395992,Life
70,Million Dollar Baby
465136,Every Day
295011,Patient Zero
2024,The Patriot
68724,Elysium
1422,The Departed
296098,Bridge of Spies
419831,I Kill Giants
274479,Joy
418472,The Wild Pear Tree
365942,The Space Between Us
5915,Into the Wild
258216,Nymphomaniac: Vol. I
640,Catch Me If You Can
401847,Can You Ever Forgive Me?
9693,Children of Men
406990,What Happened to Monday
86834,Noah
489927,The Kindergarten Teacher
2501,The Bourne Identity
489929,Destination Wedding
385448,The Little Mermaid
17431,Moon
300671,13 Hours: The Secret Soldiers of Benghazi
333371,10 Cloverfield Lane
1417,Pan's Labyrinth
37799,The Social Network
1359,American Psycho
1164,Babel
122081,Spring Breakers
201088,Blackhat
491584,Burning
395834,Wind River
146233,Prisoners
414191,Our House
12201,Edge of Darkness
75780,Jack Reacher
381283,mother!
34584,The NeverEnding Story
491472,At Eternity's Gate
220882,London Fields
507076,Climax
413362,Roman J. Israel, Esq.
76494,What to Expect When You're Expecting
437586,Mid90s
581,Dances with Wolves
341174,Fifty Shades Darker
399170,Logan Lucky
45317,The Fighter
283366,Miss Peregrine's Home for Peculiar Children
241554,Run All Night
6479,I Am Legend
446791,All the Money in the World
45269,The King's Speech
295964,Burnt
254320,The Lobster
13223,Gran Torino
274870,Passengers
76203,12 Years a Slave
300168,Dragon Blade
8088,Broken Embraces
381284,Hidden Figures
11713,Fist of Fury
22705,Cheeky
534075,Super 30
443055,Love of My Life
168672,American Hustle
11130,The Princess Diaries 2: Royal Engagement
339692,Shot Caller
16995,State of Play
489925,Eighth Grade
500852,Miss Bala
38,Eternal Sunshine of the Spotless Mind
561362,Rust Creek
524348,The Report
124905,Godzilla
385360,Billionaire Boys Club
8619,Master and Commander: The Far Side of the World
385332,Terminal
1246,Rocky Balboa
14574,The Boy in the Striped Pyjamas
9552,The Exorcist
4944,Burn After Reading
2108,The Breakfast Club
484297,Abe
307081,Southpaw
372343,The Snowman
400617,Phantom Thread
